timestamp,tracking_state,num_features,tx,ty,tz,qx,qy,qz,qw
1785942417.868777037,1,4946,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000
1785942418.593339205,1,4891,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000
1785942418.656939268,1,4911,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000
1785942418.756909370,1,4926,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000
1785942418.856853247,1,4895,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000
1785942418.957114935,1,4914,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000
1785942419.067114592,1,4910,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000
1785942419.157001495,2,4902,-0.044851515,-0.040830303,0.011732823,0.005273627,-0.027163263,0.000415748,0.999617040
1785942419.256958961,2,4906,-0.044751644,-0.043476533,0.011013503,0.002132152,-0.009879907,-0.000651174,0.999948740
1785942419.370538235,2,4897,-0.041560128,-0.044244688,0.009386682,-0.000239199,0.006986189,-0.001661583,0.999974191
1785942419.457007647,2,4885,-0.037639085,-0.038588013,0.008649339,0.001564944,0.018335244,-0.001661824,0.999829352
1785942419.557139874,2,4900,-0.035131894,-0.032680418,0.005105228,0.005246759,0.021264909,-0.000953876,0.999759674
1785942419.656897545,2,1011,-0.033048395,-0.021828482,-0.000140246,0.013227878,0.013378631,0.000937867,0.999822557
1785942419.756951094,2,1007,-0.032899592,-0.018992282,-0.002309607,0.018793996,-0.003531807,0.002351375,0.999814391
1785942419.856904745,2,1006,-0.039604936,-0.012034220,-0.001471150,0.027387837,-0.024153888,0.004845504,0.999321282
1785942419.957087040,2,1006,-0.047101129,-0.016791936,0.002810606,0.032461394,-0.053119447,0.006404631,0.998039901
1785942420.056968689,2,1003,-0.055370186,-0.034413043,0.010808124,0.024802072,-0.055632170,0.003370387,0.998137593
1785942420.156967402,2,1005,-0.061698623,-0.043839280,0.015324233,0.017812772,-0.041120932,0.001705904,0.998993933
1785942420.258829594,2,1007,-0.061704796,-0.056165505,0.016076026,0.008192704,-0.020487964,-0.001267048,0.999755740
1785942420.357574463,2,1005,-0.059813585,-0.053977806,0.016698191,0.006291561,0.001011013,-0.002255229,0.999977171
1785942420.456938267,2,1007,-0.055715516,-0.051274203,0.014944475,0.006647790,0.015840162,-0.002768669,0.999848604
1785942420.557009935,2,1006,-0.050989706,-0.043296125,0.011510312,0.011975372,0.019791458,-0.001741419,0.999730885
1785942420.658832788,2,1002,-0.058440950,-0.037074052,0.009219293,0.019438351,0.016819831,0.000326417,0.999669552
1785942420.758833647,2,1004,-0.060619224,-0.034229264,0.008202301,0.027644662,0.001218897,0.002641708,0.999613583
1785942420.856967926,2,1004,-0.064086355,-0.036629323,0.007616407,0.034347322,-0.018575203,0.003790878,0.999230146
1785942420.957426548,2,1009,-0.067253426,-0.039160084,0.011616076,0.039488766,-0.036058385,0.004264773,0.998560071
1785942421.059434175,2,1008,-0.074325390,-0.055786457,0.013629381,0.034006666,-0.038687184,0.001531462,0.998671412
1785942421.157142878,2,1007,-0.074101985,-0.065440834,0.015955264,0.026983589,-0.027241601,-0.001226337,0.999263883
1785942421.257215977,2,1010,-0.070148155,-0.066555277,0.016143356,0.023104753,-0.013184487,-0.002573648,0.999642849
1785942421.357064724,2,1005,-0.071496293,-0.066440634,0.016979974,0.020543097,0.001372585,-0.003443409,0.999782085
1785942421.457256556,2,1010,-0.074028410,-0.068529569,0.017751852,0.018941619,0.010378220,-0.003404855,0.999760926
1785942421.557475328,2,1009,-0.074953832,-0.060927294,0.015425337,0.024411570,0.009704761,-0.001939498,0.999653041
1785942421.657290459,2,1004,-0.076443441,-0.053540878,0.013116350,0.033103000,-0.000582903,0.000186074,0.999451756
1785942421.758142948,2,1010,-0.087063685,-0.057962656,0.012492210,0.037978761,-0.013800249,0.001269671,0.999182463
1785942421.857147694,2,1008,-0.093039900,-0.049295601,0.013657272,0.051158573,-0.035795614,0.004877064,0.998036921
1785942421.967613220,2,1004,-0.102110520,-0.067845717,0.012605940,0.050572906,-0.056200694,0.002590484,0.997134507
1785942422.057432652,2,1003,-0.098821297,-0.097615585,0.010476032,0.035383757,-0.052036736,-0.003723477,0.998011172
1785942422.157370329,2,1006,-0.098103836,-0.102407135,0.013323263,0.027985023,-0.031946909,-0.005177653,0.999084294
1785942422.257425308,2,1009,-0.095045671,-0.102842383,0.015659144,0.022151675,-0.012043664,-0.006439361,0.999661326
1785942422.358000040,2,1006,-0.098588623,-0.110846035,0.018052755,0.013836579,0.007539041,-0.006230720,0.999856472
1785942422.458400011,2,1007,-0.098975122,-0.105729774,0.020032378,0.014065851,0.018555408,-0.005715806,0.999712586
1785942422.568972111,2,1006,-0.102022767,-0.094641574,0.021986337,0.021112200,0.019862292,-0.003310486,0.999574304
1785942422.657516956,2,1006,-0.111803763,-0.099567235,0.018997686,0.024755090,0.012016327,-0.000204608,0.999621332
1785942422.757569551,2,1009,-0.121080168,-0.093906477,0.018643973,0.036622919,-0.004970554,0.001699674,0.999315321
1785942422.857733727,2,1003,-0.132697240,-0.085374251,0.019348528,0.052774321,-0.029487355,0.006133978,0.998152196
1785942422.957905769,2,1007,-0.141734391,-0.135282397,0.005422722,0.038284976,-0.050897606,0.001466282,0.997968733
1785942423.068418741,2,1007,-0.142537624,-0.157746911,0.007659482,0.028414028,-0.044515450,-0.001689341,0.998603106
1785942423.157745838,2,1011,-0.139467031,-0.168990716,0.010717865,0.019060751,-0.027883725,-0.003994471,0.999421477
1785942423.271116734,2,1007,-0.139771983,-0.178422272,0.013357421,0.008764603,-0.004522412,-0.004150226,0.999942780
1785942423.370173216,2,1006,-0.134673968,-0.175351828,0.017356208,0.005150973,0.012911362,-0.004221659,0.999894500
1785942423.457727671,2,1003,-0.133751705,-0.168757319,0.019492235,0.004977758,0.024245324,-0.003359813,0.999688029
1785942423.557973862,2,1006,-0.141840130,-0.165183395,0.022846792,0.006616771,0.028438196,-0.001425321,0.999572635
1785942423.657811403,2,1004,-0.149995118,-0.149984792,0.024126645,0.018146271,0.019787105,0.001286966,0.999638736
1785942423.767989874,2,1005,-0.166579396,-0.150907993,0.023906326,0.025680942,0.005591696,0.003171475,0.999649525
1785942423.857827425,2,1008,-0.180073783,-0.159050226,0.015802352,0.031617470,-0.014222300,0.005258593,0.999384999
1785942423.968206882,2,1008,-0.178325638,-0.194463909,0.002986502,0.022131138,-0.033607014,0.003309903,0.999184608
1785942424.069885254,2,1006,-0.172123969,-0.211783245,0.002646709,0.014383570,-0.029198961,0.000603137,0.999469936
1785942424.158293247,2,1007,-0.170693085,-0.217769280,0.006573553,0.008249525,-0.011338498,-0.000154282,0.999901712
1785942424.257972956,2,1005,-0.167128220,-0.218746066,0.012345674,0.003750513,0.005099217,0.000135374,0.999979973
1785942424.358114719,2,1006,-0.164576769,-0.214410886,0.017805425,0.002168315,0.017638793,0.000883287,0.999841690
1785942424.458011627,2,1006,-0.170393601,-0.214454710,0.022882584,0.000890275,0.025758021,0.003202173,0.999662697
1785942424.558016777,2,1005,-0.177431628,-0.210743502,0.025017694,0.005335707,0.023588102,0.004284488,0.999698341
